id,ign,teamId,region,nat,realName,age,role,roles,flex,isIgl,overall,potential,form,morale,fatigue,salary,value,contractYears,loyalty,ambition,rounds,stageBonus,agentPool,traits,aim,reaction,awareness,utility,clutch,teamwork,communication,igl,vlrRating,vlrAcs,vlrRounds
P0,Neon,T0,Americas,ar,,27,哨卫,哨卫|控场|决斗者,true,false,91,92,74,76,8,663000,498000,1,22,81,5036,0.07,Chamber|Omen|Jett,突破手|核心火力|定海神针,91,95,92,83,97,88,92,73,1.21,219.0,1367.0
P1,Sato,T0,Americas,br,Eduardo Kenzo Nagahama Sato,18,决斗者,决斗者|控场,true,false,92,99,68,69,3,720000,1052000,2,46,79,8620,0.55,Phoenix|Omen|Raze,突破手|核心火力|定海神针,95,94,86,80,94,89,86,73,1.06,222.0,1471.0
P2,blowz,T0,Americas,br,Guilherme Oliveira,18,先锋,先锋,false,false,88,98,67,72,9,516000,739000,3,57,51,5359,1.19,Fade|Sova|Skye,定海神针|生存大师,77,73,95,91,92,92,93,78,1.05,178.0,1471.0
P3,kiNgg,T0,Americas,cl,Francisco Alberto Aravena,24,控场,控场,false,true,88,91,71,55,15,475000,504000,2,66,75,10254,-0.94,Viper|Omen|Astra,定海神针,79,82,92,91,92,91,96,89,1.03,179.0,1471.0
P4,spike,T0,Americas,br,Rodrigo Lombardi,18,决斗者,决斗者|控场,true,false,86,99,71,81,18,437000,628000,4,73,83,4615,4.33,Neon|Omen,核心火力|残局王|玻璃大炮,84,87,76,73,84,80,79,65,0.99,223.0,1471.0
P5,keiko,T1,Americas,gb,Georgio Sanassy,22,决斗者,决斗者|控场|哨卫,true,false,89,92,72,71,5,561000,604000,2,51,49,1637,-0.41,Jett|Brimstone|Chamber,,93,89,89,87,95,86,91,74,1.12,216.0,1637.0
P6,brawk,T1,Americas,us,Brock Somerhalder,25,先锋,先锋|哨卫,true,false,87,89,68,95,14,475000,430000,1,36,62,1637,-1.17,Sova|Vyse,定海神针|生存大师|残局王|稳定输出,84,78,93,91,93,91,92,77,1.09,201.0,1637.0
P7,skuba,T1,Americas,us,Logan Jenkins,23,控场,控场|哨卫,true,false,86,93,73,77,18,437000,471000,4,63,62,1637,0.94,Viper|Cypher|Omen,定海神针,77,76,90,86,89,86,90,73,1.04,188.0,1637.0
P8,mada,T1,Americas,ca,Adam Pampuch,22,决斗者,决斗者|控场,true,false,80,85,64,66,2,265000,261000,3,70,82,1637,-1.68,Neon|Harbor|Raze,突破手|玻璃大炮,84,89,74,69,86,73,76,61,1.0,209.0,1637.0
P9,Ethan,T1,Americas,us,Ethan Cole Arnold,25,先锋,先锋|决斗者,true,true,79,83,67,85,14,244000,205000,1,68,81,1637,-1.48,Kayo|Phoenix|Fade,串联核心,71,72,83,88,79,87,90,86,0.95,182.0,1637.0
