id,tag,name,region,league,tier,rating,reputation,budget,facilities,coach,coachTactics,coachDevelopment,coachMotivation,assistants,roster
T0,LEV,Leviatán,Americas,VCT Americas,1,89,89,4628659,66,Onur,76,77,83,Jhein,P0|P1|P2|P3|P4
T1,NRG,NRG Esports,Americas,VCT Americas,1,84,84,5191219,83,bonkar,85,66,88,mitch,P5|P6|P7|P8|P9
T2,G2,G2 Esports,Americas,VCT Americas,1,85,85,3964616,90,JoshRT,73,77,74,shhhack,P10|P11|P12|P13|P14
T3,MIBR,MIBR,Americas,VCT Americas,1,82,82,2934337,72,fRoD,70,79,64,Happy,P15|P16|P17|P18|P19
T4,SEN,Sentinels,Americas,VCT Americas,1,74,74,7854386,72,Ewok,70,57,62,GUNTER,P20|P21|P22|P23|P24
T5,FUR,FURIA,Americas,VCT Americas,1,82,82,5130015,80,shaW,78,65,77,Kamino,P25|P26|P27|P28|P29|P30
T6,100T,100 Thieves,Americas,VCT Americas,1,84,84,5731192,78,Nbs,79,77,81,d00mbr0s|Kaimera,P31|P32|P33|P34|P35
T7,KRÜ,KRÜ Esports,Americas,VCT Americas,1,76,76,3340963,79,ZONYK,69,63,60,arthur|Fadeout,P36|P37|P38|P39|P40
T8,LOUD,LOUD,Americas,VCT Americas,1,79,79,4378867,68,Romanilly,72,72,69,,P41|P42|P43|P44|P45|P46|P47
T9,C9,Cloud9,Americas,VCT Americas,1,81,81,4192087,77,Veer,69,70,80,Immi,P48|P49|P50|P51|P52
T10,EG,Evil Geniuses,Americas,VCT Americas,1,73,73,7431226,69,potter,69,73,75,pho|Faded,P53|P54|P55|P56|P57
T11,ENVY,Envy,Americas,VCT Americas,1,81,81,6731620,75,Stunner,88,70,68,WKN,P58|P59|P60|P61|P62|P63|P64
T12,VIT,Team Vitality,EMEA,VCT EMEA,1,87,87,4379780,81,PAL,84,85,93,Scuttt,P65|P66|P67|P68|P69
T13,TH,Team Heretics,EMEA,VCT EMEA,1,83,83,7084676,72,neilzinho,78,80,77,weber|EsportsRyan,P70|P71|P72|P73|P74
T14,FNC,FNATIC,EMEA,VCT EMEA,1,87,87,3285905,78,Engh,76,81,77,Desmo|Szed,P75|P76|P77|P78|P79|P80
T15,FUT,FUT Esports,EMEA,VCT EMEA,1,82,82,8052278,74,Vlad,70,68,71,Bambino,P81|P82|P83|P84|P85
T16,GX,GIANTX,EMEA,VCT EMEA,1,73,73,8430613,61,pipsoN,54,66,68,wayLander,P86|P87|P88|P89|P90
T17,BBL,BBL Esports,EMEA,VCT EMEA,1,75,75,3867487,75,KEY,69,71,72,Viento,P91|P92|P93|P94|P95
T18,TL,Team Liquid,EMEA,VCT EMEA,1,85,85,2662916,89,LohaN,73,78,86,yaotziN|7Teen,P96|P97|P98|P99|P100|P101|P102
